article_id,column1,column2,column3,column4
7851090, Individuals or households||| Civil Society- international/multinational/national||| National government||| Sub-national government||| Civil Society- sub-national or local, Technological/infrastructural|||Behavioural/cultural||| Ecosystem-based||| Institutional, Drought||| Extreme precipitation and inland flooding||| Precipitation variability, Food security|||Poverty||| Health & wellbeing||| Gender equality||| Consumption & production||| Sustainable cities & communities
7851091, Individuals or households|||International or multinational governance institutions||| Local government, Ecosystem-based, Drought||| Other1, Consumption & production||| Food security||| Energy security
7851092, Individuals or households||| Civil Society- sub-national or local,Behavioural/cultural||| Ecosystem-based||| Institutional||| Technological/infrastructural,Sea level rise||| Extreme precipitation and inland flooding||| Increased frequency and intensity of extreme heat||| Precipitation variability||| Drought||| Other1, No information or not assessed2
7851094, Civil Society- sub-national or local||| Civil Society- international/multinational/national, Technological/infrastructural, Drought, Consumption & production||| Clean water & sanitation
7851098, Individuals or households,Behavioural/cultural||| Ecosystem-based, General climate impacts||| Precipitation variability, Food security|||Poverty||| Consumption & production||| Work and economic growth
7851099, Individuals or households||| Other,Behavioural/cultural||| Technological/infrastructural, Precipitation variability||| Increased frequency and intensity of extreme heat||| General climate impacts, Food security|||Poverty||| Work and economic growth
7851102, Individuals or households||| National government||| Sub-national government||| Local government||| Private sector corporations,Behavioural/cultural||| Institutional,Sea level rise||| Other1||| Precipitation variability, Food security||| Health & wellbeing||| Work and economic growth||| Other2|||Poverty||| Clean water & sanitation
7851103, Individuals or households||| Civil Society- sub-national or local,Behavioural/cultural||| Ecosystem-based, General climate impacts||| Other1||| Precipitation variability||| Increased frequency and intensity of extreme heat, Food security||| Consumption & production||| Clean water & sanitation|||Poverty
7851104, Individuals or households||| National government, Ecosystem-based||| Technological/infrastructural, Drought||| General climate impacts||| Increased frequency and intensity of extreme heat, Consumption & production||| Sustainable cities & communities||| Terrestrial & freshwater ecosystem services||| Work and economic growth
7851105, Individuals or households, Institutional|||Behavioural/cultural, Drought||| Precipitation variability||| General climate impacts, Terrestrial & freshwater ecosystem services||| Consumption & production||| Work and economic growth|||Poverty
7851107, Individuals or households,Behavioural/cultural||| Ecosystem-based, No information or not assessed1||| Precipitation variability||| General climate impacts, Consumption & production||| Work and economic growth||| Food security
7851109, Individuals or households||| National government||| Civil Society- sub-national or local||| Other, Technological/infrastructural||| Institutional, Precipitation variability||| Drought||| Extreme precipitation and inland flooding||| Other1, Consumption & production||| Work and economic growth||| Clean water & sanitation||| Industry/innovation/technology
7851112, Individuals or households||| Civil Society- sub-national or local, Ecosystem-based||| Technological/infrastructural|||Behavioural/cultural, Other1||| General climate impacts||| Extreme precipitation and inland flooding||| Precipitation variability||| Drought, Food security||| Health & wellbeing||| Terrestrial & freshwater ecosystem services||| Consumption & production
7851115, Individuals or households||| Civil Society- sub-national or local, Technological/infrastructural|||Behavioural/cultural||| Ecosystem-based, Extreme precipitation and inland flooding||| General climate impacts, Consumption & production||| Food security||| Health & wellbeing
7851117, Individuals or households||| Local government||| National government, Institutional||| Technological/infrastructural||| Ecosystem-based|||Behavioural/cultural,Sea level rise||| Other1, Food security|||Poverty||| Clean water & sanitation
7851118, Civil Society- international/multinational/national||| Civil Society- sub-national or local||| Individuals or households||| Other, Ecosystem-based, Drought||| Precipitation variability||| Increased frequency and intensity of extreme heat||| Extreme precipitation and inland flooding||| General climate impacts, Food security|||Poverty
7851127, Individuals or households,Behavioural/cultural, Precipitation variability, Food security
7851128, Individuals or households, Technological/infrastructural|||Behavioural/cultural, Drought||| Other1||| General climate impacts, Consumption & production||| Education||| Food security
